Date,Open,High,Low,Close,Adj Close,Volume
10/8/2014,24.690001,25.2775,24.577499,25.200001,22.822727,229618800
10/9/2014,25.385,25.594999,25.1525,25.254999,22.872543,309506000
10/10/2014,25.172501,25.5075,25.075001,25.182501,22.806879,265326400
10/13/2014,25.3325,25.445,24.952499,24.952499,22.598583,214333600
10/14/2014,25.0975,25.129999,24.6425,24.6875,22.35858,254754400
10/15/2014,24.4925,24.7875,23.795,24.385,22.084614,403734400
10/16/2014,23.887501,24.43,23.852501,24.065001,21.794804,288618000
10/17/2014,24.375,24.75,24.202499,24.4175,22.114052,272718800
10/20/2014,24.58,24.99,24.555,24.940001,22.587261,310069200
10/21/2014,25.754999,25.754999,25.317499,25.6175,23.200844,378495600
10/22/2014,25.709999,26.0275,25.65,25.747499,23.318588,273052400
10/23/2014,26.02,26.262501,25.907499,26.2075,23.735188,284298800
10/24/2014,26.295,26.372499,26.1325,26.305,23.823496,188215600
10/27/2014,26.2125,26.370001,26.174999,26.2775,23.798584,136750800
10/28/2014,26.35,26.684999,26.3375,26.684999,24.167643,192243600
10/29/2014,26.6625,26.842501,26.59,26.834999,24.303492,210751600
10/30/2014,26.74,26.8375,26.475,26.745001,24.221985,162619200
10/31/2014,27.002501,27.01,26.8025,27,24.452927,178557200
11/3/2014,27.055,27.575001,27.002501,27.35,24.769909,209130400
11/4/2014,27.34,27.372499,26.93,27.15,24.588778,166297600
11/5/2014,27.275,27.325001,27.032499,27.215,24.647648,149743600
11/6/2014,27.15,27.1975,26.950001,27.174999,24.718136,139874000
11/7/2014,27.1875,27.33,27.137501,27.252501,24.788631,134766000
11/10/2014,27.254999,27.3325,27.1675,27.2075,24.7477,108782000
11/11/2014,27.174999,27.4375,27.1,27.424999,24.945536,109769200
11/12/2014,27.344999,27.8575,27.342501,27.8125,25.298006,187769600
11/13/2014,27.950001,28.362499,27.9,28.205,25.655018,238091600
11/14/2014,28.2875,28.547501,27.8025,28.545,25.964279,176254400
11/17/2014,28.567499,29.32,28.325001,28.497499,25.921066,186986800
11/18/2014,28.485001,28.922501,28.4725,28.8675,26.257622,176896000
11/19/2014,28.860001,28.934999,28.450001,28.6675,26.075705,167476800
11/20/2014,28.727501,29.215,28.7125,29.077499,26.448637,173582000
11/21/2014,29.377501,29.3925,29.0075,29.1175,26.485025,228717200
11/24/2014,29.2125,29.692499,29.155001,29.657499,26.976194,189803200
11/25/2014,29.7675,29.9375,29.362499,29.4,26.74198,275361600
11/26/2014,29.485001,29.775,29.4575,29.75,27.060333,163073200
11/28/2014,29.817499,29.85,29.512501,29.7325,27.044416,99257600
12/1/2014,29.702499,29.8125,27.817499,28.7675,26.166662,335256000
12/2/2014,28.375,28.9375,28.1875,28.657499,26.06661,237395600
12/3/2014,28.9375,29.0875,28.7775,28.9825,26.362223,172253600
12/4/2014,28.942499,29.299999,28.8225,28.872499,26.262171,168178000
12/5/2014,28.997499,29.02,28.66,28.75,26.150747,153275600
12/8/2014,28.525,28.6625,27.905001,28.1,25.559513,230659600
12/9/2014,27.547501,28.575001,27.3375,28.530001,25.950634,240832000
12/10/2014,28.602501,28.7125,27.885,27.987499,25.457186,178261200
12/11/2014,28.065001,28.450001,27.834999,27.905001,25.382139,165606800
12/12/2014,27.615,27.967501,27.395,27.432501,24.95236,224112400
12/15/2014,27.674999,27.9,26.5875,27.057501,24.611263,268872400
12/16/2014,26.592501,27.540001,26.565001,26.6875,24.274715,243162800
12/17/2014,26.780001,27.459999,26.705,27.352501,24.879589,213647200
12/18/2014,27.967501,28.1625,27.665001,28.1625,25.616358,236024800
12/19/2014,28.065001,28.309999,27.915001,27.945,25.418522,353719200
12/22/2014,28.040001,28.372499,27.9925,28.235001,25.682306,180670000
12/23/2014,28.307501,28.3325,28.115,28.135,25.591351,104113600
12/24/2014,28.145,28.1775,28.002501,28.002501,25.470825,57918400
